TNATURE;IENTITY;IBP;IVERSION;ISTRAT;ISCEN;CTP;MVAL
RENTS;1;1;1;1;1;1;100
CHARGES;1;1;1;1;1;1;-20
WORKS;1;1;1;1;1;1;-20
AMTZ;1;1;1;1;1;1;-20
TAX_RATE;1;1;1;1;1;1;0,33
IDX_RENT;1;1;1;1;1;1;0,02
IDX_CHG;1;1;1;1;1;1;0,025
RENTS;2;1;1;1;1;1;100
CHARGES;2;1;1;1;1;1;-20
WORKS;2;1;1;1;1;1;-20
AMTZ;2;1;1;1;1;1;-20
TAX_RATE;2;1;1;1;1;1;0,33
IDX_RENT;2;1;1;1;1;1;0,02
IDX_CHG;2;1;1;1;1;1;0,025
RENTS;3;1;1;1;1;1;100
CHARGES;3;1;1;1;1;1;-20
WORKS;3;1;1;1;1;1;-20
AMTZ;3;1;1;1;1;1;-20
TAX_RATE;3;1;1;1;1;1;0,33
IDX_RENT;3;1;1;1;1;1;0,02
IDX_CHG;3;1;1;1;1;1;0,025
RENTS;4;1;1;1;1;1;100
CHARGES;4;1;1;1;1;1;-20
WORKS;4;1;1;1;1;1;-20
AMTZ;4;1;1;1;1;1;-20
TAX_RATE;4;1;1;1;1;1;0,33
IDX_RENT;4;1;1;1;1;1;0,02
IDX_CHG;4;1;1;1;1;1;0,025
RENTS;5;1;1;1;1;1;100
CHARGES;5;1;1;1;1;1;-20
WORKS;5;1;1;1;1;1;-20
AMTZ;5;1;1;1;1;1;-20
TAX_RATE;5;1;1;1;1;1;0,33
IDX_RENT;5;1;1;1;1;1;0,02
IDX_CHG;5;1;1;1;1;1;0,025
RENTS;6;1;1;1;1;1;100
CHARGES;6;1;1;1;1;1;-20
WORKS;6;1;1;1;1;1;-20
AMTZ;6;1;1;1;1;1;-20
TAX_RATE;6;1;1;1;1;1;0,33
IDX_RENT;6;1;1;1;1;1;0,02
IDX_CHG;6;1;1;1;1;1;0,025
RENTS;7;1;1;1;1;1;100
CHARGES;7;1;1;1;1;1;-20
WORKS;7;1;1;1;1;1;-20
AMTZ;7;1;1;1;1;1;-20
TAX_RATE;7;1;1;1;1;1;0,33
DIVID_REQ;7;1;1;1;1;1;1000
IDX_RENT;7;1;1;1;1;1;0,02
IDX_CHG;7;1;1;1;1;1;0,025
RENTS;8;1;1;1;1;1;100
CHARGES;8;1;1;1;1;1;-20
WORKS;8;1;1;1;1;1;-20
AMTZ;8;1;1;1;1;1;-20
TAX_RATE;8;1;1;1;1;1;0,33
DIVID_REQ;8;1;1;1;1;1;1000
IDX_RENT;8;1;1;1;1;1;0,02
IDX_CHG;8;1;1;1;1;1;0,025
RENTS;9;1;1;1;1;1;100
CHARGES;9;1;1;1;1;1;-20
WORKS;9;1;1;1;1;1;-20
AMTZ;9;1;1;1;1;1;-20
TAX_RATE;9;1;1;1;1;1;0,33
DIVID_REQ;9;1;1;1;1;1;1000
IDX_RENT;9;1;1;1;1;1;0,02
IDX_CHG;9;1;1;1;1;1;0,025
RENTS;10;1;1;1;1;1;100
CHARGES;10;1;1;1;1;1;-20
WORKS;10;1;1;1;1;1;-20
AMTZ;10;1;1;1;1;1;-20
TAX_RATE;10;1;1;1;1;1;0,33
DIVID_REQ;10;1;1;1;1;1;1000
IDX_RENT;10;1;1;1;1;1;0,02
IDX_CHG;10;1;1;1;1;1;0,025
RENTS;11;1;1;1;1;1;100
CHARGES;11;1;1;1;1;1;-20
WORKS;11;1;1;1;1;1;-20
AMTZ;11;1;1;1;1;1;-20
TAX_RATE;11;1;1;1;1;1;0,33
DIVID_REQ;11;1;1;1;1;1;1000
IDX_RENT;11;1;1;1;1;1;0,02
IDX_CHG;11;1;1;1;1;1;0,025
RENTS;12;1;1;1;1;1;100
CHARGES;12;1;1;1;1;1;-20
WORKS;12;1;1;1;1;1;-20
AMTZ;12;1;1;1;1;1;-20
TAX_RATE;12;1;1;1;1;1;0,33
IDX_RENT;12;1;1;1;1;1;0,02
IDX_CHG;12;1;1;1;1;1;0,025
RENTS;13;1;1;1;1;1;100
CHARGES;13;1;1;1;1;1;-20
WORKS;13;1;1;1;1;1;-20
AMTZ;13;1;1;1;1;1;-20
TAX_RATE;13;1;1;1;1;1;0,33
IDX_RENT;13;1;1;1;1;1;0,02
IDX_CHG;13;1;1;1;1;1;0,025
RENTS;14;1;1;1;1;1;100
CHARGES;14;1;1;1;1;1;-20
WORKS;14;1;1;1;1;1;-20
AMTZ;14;1;1;1;1;1;-20
TAX_RATE;14;1;1;1;1;1;0,33
DIVID_REQ;14;1;1;1;1;1;1000
IDX_RENT;14;1;1;1;1;1;0,02
IDX_CHG;14;1;1;1;1;1;0,025
RENTS;15;1;1;1;1;1;100
CHARGES;15;1;1;1;1;1;-20
WORKS;15;1;1;1;1;1;-20
AMTZ;15;1;1;1;1;1;-20
TAX_RATE;15;1;1;1;1;1;0,33
DIVID_REQ;15;1;1;1;1;1;1000
IDX_RENT;15;1;1;1;1;1;0,02
IDX_CHG;15;1;1;1;1;1;0,025
RENTS;16;1;1;1;1;1;100
CHARGES;16;1;1;1;1;1;-20
WORKS;16;1;1;1;1;1;-20
AMTZ;16;1;1;1;1;1;-20
TAX_RATE;16;1;1;1;1;1;0,33
DIVID_REQ;16;1;1;1;1;1;1000
IDX_RENT;16;1;1;1;1;1;0,02
IDX_CHG;16;1;1;1;1;1;0,025
RENTS;17;1;1;1;1;1;100
CHARGES;17;1;1;1;1;1;-20
WORKS;17;1;1;1;1;1;-20
AMTZ;17;1;1;1;1;1;-20
TAX_RATE;17;1;1;1;1;1;0,33
DIVID_REQ;17;1;1;1;1;1;1000
IDX_RENT;17;1;1;1;1;1;0,02
IDX_CHG;17;1;1;1;1;1;0,025
RENTS;18;1;1;1;1;1;100
CHARGES;18;1;1;1;1;1;-20
WORKS;18;1;1;1;1;1;-20
AMTZ;18;1;1;1;1;1;-20
TAX_RATE;18;1;1;1;1;1;0,33
DIVID_REQ;18;1;1;1;1;1;1000
IDX_RENT;18;1;1;1;1;1;0,02
IDX_CHG;18;1;1;1;1;1;0,025
RENTS;19;1;1;1;1;1;100
CHARGES;19;1;1;1;1;1;-20
WORKS;19;1;1;1;1;1;-20
AMTZ;19;1;1;1;1;1;-20
TAX_RATE;19;1;1;1;1;1;0,33
IDX_RENT;19;1;1;1;1;1;0,02
IDX_CHG;19;1;1;1;1;1;0,025
