"IENTITYF";"IENTITYC";"MHOLD"
1;2;1,00
1;7;1,00
1;8;0,75
1;9;0,40
1;10;0,15
1;3;0,05
1;6;0,05
2;3;0,94
2;4;0,94
2;6;0,94
3;5;0,89
4;5;0,05
5;11;1,00
5;12;0,80
5;13;0,30
5;14;0,05
5;17;0,70
5;19;0,15
5;20;0,60
6;17;0,30
6;19;0,65
6;20;0,40
6;21;0,20
6;22;0,75
6;18;1,00
6;23;0,10
6;9;0,60
12;15;0,20
12;16;0,50
13;15;0,10
13;16;0,10
19;23;0,20
22;19;0,20
22;23;0,70
11;24;1,00
24;25;1,00
24;30;1,00
24;31;0,75
24;32;0,40
24;33;0,15
24;26;0,05
24;29;0,05
25;26;0,94
25;27;0,94
25;29;0,94
26;28;0,89
27;28;0,05
28;34;1,00
28;35;0,80
28;36;0,30
28;37;0,05
28;40;0,70
28;42;0,15
28;43;0,60
29;40;0,30
29;42;0,65
29;43;0,40
29;44;0,20
29;45;0,75
29;41;1,00
29;46;0,10
29;32;0,60
35;38;0,20
35;39;0,50
36;38;0,10
36;39;0,10
42;46;0,20
45;42;0,20
45;46;0,70
