"IENTITYF";"IENTITYC";"MHOLD"
1;2;1,00
1;3;0,05
1;6;0,05
2;3;0,94
2;4;0,94
2;6;0,94
3;5;0,89
4;5;0,05
5;11;1,00
5;12;0,80
5;13;0,30
5;19;0,15
6;19;0,65
6;22;0,75
22;19;0,20
11;24;1,00
24;25;1,00
24;26;0,05
24;29;0,05
25;26;0,94
25;27;0,94
25;29;0,94
26;28;0,89
27;28;0,05
28;35;0,80
28;36;0,30
28;42;0,15
29;42;0,65
29;45;0,75
45;42;0,20
1;7;1,00
1;8;0,75
1;9;0,40
1;10;0,15
5;14;0,05
5;17;0,70
5;20;0,60
6;17;0,30
6;20;0,40
6;21;0,20
6;18;1,00
6;23;0,10
6;9;0,60
12;15;0,20
12;16;0,50
13;15;0,10
13;16;0,10
19;23;0,20
22;23;0,70
24;30;1,00
24;31;0,75
24;32;0,40
24;33;0,15
28;34;1,00
28;37;0,05
28;40;0,70
28;43;0,60
29;40;0,30
29;43;0,40
29;44;0,20
29;41;1,00
29;46;0,10
29;32;0,60
35;38;0,20
35;39;0,50
36;38;0,10
36;39;0,10
42;46;0,20
45;46;0,70
1;7;1,00
1;107;1,00
1;207;1,00
1;307;1,00
1;407;1,00
1;507;1,00
1;8;0,75
1;108;0,75
1;208;0,75
1;308;0,75
1;408;0,75
1;508;0,75
1;9;0,40
1;109;0,40
1;209;0,40
1;309;0,40
1;409;0,40
1;509;0,40
1;10;0,15
1;1010;0,15
1;2010;0,15
1;3010;0,15
1;4010;0,15
1;5010;0,15
5;14;0,05
5;1014;0,05
5;2014;0,05
5;3014;0,05
5;4014;0,05
5;5014;0,05
5;17;0,70
5;1017;0,70
5;2017;0,70
5;3017;0,70
5;4017;0,70
5;5017;0,70
5;20;0,60
5;1020;0,60
5;2020;0,60
5;3020;0,60
5;4020;0,60
5;5020;0,60
6;17;0,30
6;1017;0,30
6;2017;0,30
6;3017;0,30
6;4017;0,30
6;5017;0,30
6;20;0,40
6;1020;0,40
6;2020;0,40
6;3020;0,40
6;4020;0,40
6;5020;0,40
6;21;0,20
6;1021;0,20
6;2021;0,20
6;3021;0,20
6;4021;0,20
6;5021;0,20
6;18;1,00
6;1018;1,00
6;2018;1,00
6;3018;1,00
6;4018;1,00
6;5018;1,00
6;23;0,10
6;1023;0,10
6;2023;0,10
6;3023;0,10
6;4023;0,10
6;5023;0,10
6;9;0,60
6;109;0,60
6;209;0,60
6;309;0,60
6;409;0,60
6;509;0,60
12;15;0,20
12;1015;0,20
12;2015;0,20
12;3015;0,20
12;4015;0,20
12;5015;0,20
12;16;0,50
12;1016;0,50
12;2016;0,50
12;3016;0,50
12;4016;0,50
12;5016;0,50
13;15;0,10
13;1015;0,10
13;2015;0,10
13;3015;0,10
13;4015;0,10
13;5015;0,10
13;16;0,10
13;1016;0,10
13;2016;0,10
13;3016;0,10
13;4016;0,10
13;5016;0,10
19;23;0,20
19;1023;0,20
19;2023;0,20
19;3023;0,20
19;4023;0,20
19;5023;0,20
22;23;0,70
22;1023;0,70
22;2023;0,70
22;3023;0,70
22;4023;0,70
22;5023;0,70
24;30;1,00
24;1030;1,00
24;2030;1,00
24;3030;1,00
24;4030;1,00
24;5030;1,00
24;31;0,75
24;1031;0,75
24;2031;0,75
24;3031;0,75
24;4031;0,75
24;5031;0,75
24;32;0,40
24;1032;0,40
24;2032;0,40
24;3032;0,40
24;4032;0,40
24;5032;0,40
24;33;0,15
24;1033;0,15
24;2033;0,15
24;3033;0,15
24;4033;0,15
24;5033;0,15
28;34;1,00
28;1034;1,00
28;2034;1,00
28;3034;1,00
28;4034;1,00
28;5034;1,00
28;37;0,05
28;1037;0,05
28;2037;0,05
28;3037;0,05
28;4037;0,05
28;5037;0,05
28;40;0,70
28;1040;0,70
28;2040;0,70
28;3040;0,70
28;4040;0,70
28;5040;0,70
28;43;0,60
28;1043;0,60
28;2043;0,60
28;3043;0,60
28;4043;0,60
28;5043;0,60
29;40;0,30
29;1040;0,30
29;2040;0,30
29;3040;0,30
29;4040;0,30
29;5040;0,30
29;43;0,40
29;1043;0,40
29;2043;0,40
29;3043;0,40
29;4043;0,40
29;5043;0,40
29;44;0,20
29;1044;0,20
29;2044;0,20
29;3044;0,20
29;4044;0,20
29;5044;0,20
29;41;1,00
29;1041;1,00
29;2041;1,00
29;3041;1,00
29;4041;1,00
29;5041;1,00
29;46;0,10
29;1046;0,10
29;2046;0,10
29;3046;0,10
29;4046;0,10
29;5046;0,10
29;32;0,60
29;1032;0,60
29;2032;0,60
29;3032;0,60
29;4032;0,60
29;5032;0,60
35;38;0,20
35;1038;0,20
35;2038;0,20
35;3038;0,20
35;4038;0,20
35;5038;0,20
35;39;0,50
35;1039;0,50
35;2039;0,50
35;3039;0,50
35;4039;0,50
35;5039;0,50
36;38;0,10
36;1038;0,10
36;2038;0,10
36;3038;0,10
36;4038;0,10
36;5038;0,10
36;39;0,10
36;1039;0,10
36;2039;0,10
36;3039;0,10
36;4039;0,10
36;5039;0,10
42;46;0,20
42;1046;0,20
42;2046;0,20
42;3046;0,20
42;4046;0,20
42;5046;0,20
45;46;0,70
45;1046;0,70
45;2046;0,70
45;3046;0,70
45;4046;0,70
45;5046;0,70
