"TNATURE";"IENTITY";"IBP";"IVERSION";"ISTRAT";"ISCEN";"CTP";"MVAL"
"RENTS";1;1;1;1;1;4;100,00
"RENTS";2;1;1;1;1;11;100,00
"RENTS";2;1;1;1;1;10;100,00
"RENTS";2;1;1;1;1;9;100,00
"RENTS";2;1;1;1;1;8;100,00
"RENTS";2;1;1;1;1;7;100,00
"RENTS";2;1;1;1;1;6;100,00
"RENTS";2;1;1;1;1;5;100,00
"RENTS";2;1;1;1;1;4;100,00
"RENTS";2;1;1;1;1;12;100,00
"RENTS";1;1;1;1;1;3;100,00
"RENTS";2;1;1;1;1;3;100,00
"RENTS";1;1;1;1;1;5;100,00
"RENTS";1;1;1;1;1;6;100,00
"RENTS";1;1;1;1;1;7;100,00
"RENTS";1;1;1;1;1;8;100,00
"RENTS";1;1;1;1;1;9;100,00
"RENTS";1;1;1;1;1;10;100,00
"RENTS";1;1;1;1;1;11;100,00
"RENTS";1;1;1;1;1;12;100,00
"RENTS";1;1;1;1;1;1;100,00
"RENTS";2;1;1;1;1;2;100,00
"RENTS";1;1;1;1;1;2;100,00
"RENTS";2;1;1;1;1;1;100,00
"CHARGES";1;1;1;1;1;7;-20,00
"CHARGES";2;1;1;1;1;12;-20,00
"CHARGES";2;1;1;1;1;11;-20,00
"CHARGES";2;1;1;1;1;10;-20,00
"CHARGES";2;1;1;1;1;6;-20,00
"CHARGES";2;1;1;1;1;9;-20,00
"CHARGES";2;1;1;1;1;8;-20,00
"CHARGES";2;1;1;1;1;7;-20,00
"CHARGES";1;1;1;1;1;2;-20,00
"CHARGES";1;1;1;1;1;3;-20,00
"CHARGES";1;1;1;1;1;4;-20,00
"CHARGES";1;1;1;1;1;6;-20,00
"CHARGES";1;1;1;1;1;1;-20,00
"CHARGES";1;1;1;1;1;9;-20,00
"CHARGES";1;1;1;1;1;10;-20,00
"CHARGES";1;1;1;1;1;11;-20,00
"CHARGES";1;1;1;1;1;12;-20,00
"CHARGES";2;1;1;1;1;5;-20,00
"CHARGES";1;1;1;1;1;8;-20,00
"CHARGES";2;1;1;1;1;4;-20,00
"CHARGES";1;1;1;1;1;5;-20,00
"CHARGES";2;1;1;1;1;1;-20,00
"CHARGES";2;1;1;1;1;2;-20,00
"CHARGES";2;1;1;1;1;3;-20,00
"WORKS";2;1;1;1;1;11;-20,00
"WORKS";2;1;1;1;1;9;-20,00
"WORKS";2;1;1;1;1;10;-20,00
"WORKS";2;1;1;1;1;12;-20,00
"WORKS";2;1;1;1;1;1;-20,00
"WORKS";1;1;1;1;1;10;-20,00
"WORKS";1;1;1;1;1;1;-20,00
"WORKS";1;1;1;1;1;9;-20,00
"WORKS";1;1;1;1;1;8;-20,00
"WORKS";1;1;1;1;1;7;-20,00
"WORKS";1;1;1;1;1;6;-20,00
"WORKS";1;1;1;1;1;5;-20,00
"WORKS";1;1;1;1;1;4;-20,00
"WORKS";2;1;1;1;1;7;-20,00
"WORKS";1;1;1;1;1;2;-20,00
"WORKS";2;1;1;1;1;2;-20,00
"WORKS";1;1;1;1;1;11;-20,00
"WORKS";1;1;1;1;1;12;-20,00
"WORKS";2;1;1;1;1;8;-20,00
